ID	# PATHWAYS CONTAINING	AVG. DIFF. EXP. CASES	DEGREE	IS EXCEPTION?
ENSG00000141753	0	.00	2	true
ENSG00000104321	0	.00	1	true
ENSG00000102144	0	.00	2	true
ENSG00000105202	0	.00	4	true
ENSG00000147044	0	.00	1	true
ENSG00000126581	0	.00	13	true
ENSG00000141738	0	.00	1	true
ENSG00000115009	0	1.00	1	false
ENSG00000115008	0	1.00	2	false
ENSG00000143921	0	.00	1	true
ENSG00000115484	0	.00	3	true
ENSG00000120802	0	.00	1	true
ENSG00000017427	0	.00	5	true
ENSG00000103024	0	.00	1	true
ENSG00000108702	0	.00	2	true
ENSG00000174197	0	.00	1	true
ENSG00000107854	0	.00	1	true
ENSG00000073578	0	.00	1	true
ENSG00000108700	0	.00	4	true
ENSG00000076604	0	.00	1	true
ENSG00000180871	1	.00	6	true
ENSG00000149212	0	.00	1	true
ENSG00000197299	0	.00	6	true
ENSG00000131944	0	.00	1	true
ENSG00000103490	0	.00	4	true
ENSG00000148362	0	.00	3	true
ENSG00000070061	0	.00	2	true
ENSG00000158169	0	.00	1	true
ENSG00000151532	0	.00	2	true
ENSG00000118971	0	.00	1	true
ENSG00000118972	0	.00	1	true
ENSG00000188342	0	.00	2	true
ENSG00000273079	0	.00	1	true
ENSG00000081189	0	.00	1	true
ENSG00000164399	0	.00	2	true
ENSG00000089902	0	.00	5	true
ENSG00000158161	0	.00	1	true
ENSG00000038358	0	.00	2	true
ENSG00000232569	0	.00	1	true
ENSG00000141736	0	.00	8	true
ENSG00000127445	0	.00	1	true
ENSG00000166579	0	.00	6	true
ENSG00000125266	0	.00	1	true
ENSG00000104343	0	.00	1	true
ENSG00000126561	0	.00	2	true
ENSG00000106952	0	.00	1	true
ENSG00000176386	0	.00	2	true
ENSG00000175054	0	.00	4	true
ENSG00000131910	0	.00	4	true
ENSG00000198176	0	.00	8	true
ENSG00000178568	0	.00	5	true
ENSG00000178562	0	.00	2	true
ENSG00000198178	0	.00	1	true
ENSG00000183918	0	.00	6	true
ENSG00000107807	0	.00	1	true
ENSG00000065526	0	.00	1	true
ENSG00000117601	0	.00	2	true
ENSG00000038382	0	.00	2	true
ENSG00000137693	0	.00	24	true
ENSG00000116750	0	.00	1	true
ENSG00000188379	0	.00	2	true
ENSG00000187049	0	.00	1	true
ENSG00000102119	0	.00	1	true
ENSG00000010810	0	.00	3	true
ENSG00000101266	0	.00	6	true
ENSG00000105610	0	.00	3	true
ENSG00000204490	0	.00	14	true
ENSG00000104765	0	.00	1	true
ENSG00000077514	0	1.00	1	false
ENSG00000140859	0	.00	1	true
ENSG00000147010	0	.00	1	true
ENSG00000115414	0	.00	4	true
ENSG00000115415	0	.00	3	true
ENSG00000111057	0	.00	4	true
ENSG00000116741	0	.00	1	true
ENSG00000166598	0	.00	1	true
ENSG00000169621	0	.00	2	true
ENSG00000170606	1	.00	4	true
ENSG00000148346	0	.00	2	true
ENSG00000122180	0	.00	1	true
ENSG00000104312	0	1.00	2	false
ENSG00000125691	0	.00	1	true
ENSG00000106976	0	.00	3	true
ENSG00000243646	0	.00	2	true
ENSG00000105647	0	.00	2	true
ENSG00000075785	0	.00	3	true
ENSG00000064651	0	.00	1	true
ENSG00000015285	0	.00	5	true
ENSG00000107829	0	.00	1	true
ENSG00000064655	0	.00	1	true
ENSG00000163093	0	.00	7	true
ENSG00000072274	0	.00	6	true
ENSG00000042429	0	.00	5	true
ENSG00000188393	0	.00	2	true
ENSG00000111087	0	.00	1	true
ENSG00000113263	0	.00	1	true
ENSG00000248098	0	.00	1	true
ENSG00000159461	0	.00	5	true
ENSG00000051341	0	.00	2	true
ENSG00000148335	0	.00	3	true
ENSG00000221867	0	.00	1	true
ENSG00000221869	0	.00	7	true
ENSG00000244509	0	.00	1	true
ENSG00000146143	0	.00	1	true
ENSG00000105639	0	.00	1	true
ENSG00000165280	0	.00	12	true
ENSG00000167461	0	.00	2	true
ENSG00000152822	0	.00	1	true
ENSG00000159459	0	.00	1	true
ENSG00000170634	0	.00	1	true
ENSG00000167468	0	.00	1	true
ENSG00000166135	1	.00	13	true
ENSG00000168795	0	.00	1	true
ENSG00000152818	0	.00	5	true
ENSG00000188389	0	.00	1	true
ENSG00000254772	0	.00	1	true
ENSG00000082074	0	.00	1	true
ENSG00000128731	0	.00	2	true
ENSG00000104783	0	.00	1	true
ENSG00000116717	0	.00	4	true
ENSG00000028137	0	.00	2	true
ENSG00000135476	0	.00	1	true
ENSG00000104738	0	.00	3	true
ENSG00000159445	0	.00	1	true
ENSG00000166140	0	.00	2	true
ENSG00000150630	0	.00	2	true
ENSG00000116711	0	.00	4	true
ENSG00000166147	0	.00	1	true
ENSG00000189266	0	.00	2	true
ENSG00000128708	0	.00	2	true
ENSG00000135473	0	.00	2	true
ENSG00000166145	0	.00	1	true
ENSG00000109189	0	.00	1	true
ENSG00000078403	0	.00	3	true
ENSG00000177272	0	.00	1	true
ENSG00000101224	0	.00	4	true
ENSG00000123496	0	.00	1	true
ENSG00000079739	0	.00	1	true
ENSG00000168329	0	.00	1	true
ENSG00000125675	0	.00	1	true
ENSG00000080709	0	.00	1	true
ENSG00000181788	0	.00	6	true
ENSG00000143093	0	.00	3	true
ENSG00000135486	0	.00	3	true
ENSG00000110169	0	.00	1	true
ENSG00000135002	0	.00	2	true
ENSG00000116701	0	.00	2	true
ENSG00000139842	0	.00	7	true
ENSG00000114520	0	.00	2	true
ENSG00000231617	0	.00	9	true
ENSG00000167004	0	.00	1	true
ENSG00000148308	0	.00	2	true
ENSG00000167005	0	.00	2	true
ENSG00000187079	0	.00	4	true
ENSG00000100368	0	.00	4	true
ENSG00000091831	0	.00	16	true
ENSG00000148303	0	.00	1	true
ENSG00000101213	0	.00	3	true
ENSG00000100365	0	.00	1	true
ENSG00000090989	0	.00	3	true
ENSG00000101695	0	.00	4	true
ENSG00000125686	0	.00	18	true
ENSG00000124356	0	.00	3	true
ENSG00000100393	0	.00	15	true
ENSG00000102572	0	.00	3	true
ENSG00000184828	0	.00	1	true
ENSG00000140807	0	.00	3	true
ENSG00000064692	0	.00	1	true
ENSG00000077522	0	.00	3	true
ENSG00000181790	0	.00	1	true
ENSG00000167491	0	.00	1	true
ENSG00000116731	0	.00	1	true
ENSG00000115884	0	.00	5	true
ENSG00000189283	0	.00	3	true
ENSG00000166169	0	.00	1	true
ENSG00000169679	0	.00	4	true
ENSG00000171988	0	.00	3	true
ENSG00000051382	0	.00	2	true
ENSG00000135451	0	.00	1	true
ENSG00000166165	0	.00	1	true
ENSG00000166164	0	.00	2	true
ENSG00000166167	0	.00	11	true
ENSG00000125656	0	.00	5	true
ENSG00000221823	0	.00	1	true
ENSG00000148773	0	.00	3	true
ENSG00000125657	0	1.00	1	false
ENSG00000123473	0	.00	1	true
ENSG00000125651	0	.00	5	true
ENSG00000100395	0	.00	1	true
ENSG00000181789	0	.00	3	true
ENSG00000160867	0	.00	4	true
ENSG00000099783	0	.00	1	true
ENSG00000169683	0	.00	1	true
ENSG00000076201	0	.00	1	true
ENSG00000066405	0	.00	1	true
ENSG00000115875	0	.00	1	true
ENSG00000171522	0	1.00	2	false
ENSG00000240583	0	.00	1	true
ENSG00000151929	0	.00	1	true
ENSG00000187098	0	.00	1	true
ENSG00000233813	0	.00	7	true
ENSG00000057935	0	.00	1	true
ENSG00000100387	0	.00	9	true
ENSG00000123485	0	.00	7	true
ENSG00000100385	0	.00	5	true
ENSG00000124334	0	.00	1	true
ENSG00000070950	0	.00	3	true
ENSG00000161847	0	.00	1	true
ENSG00000115947	0	.00	3	true
ENSG00000145362	0	.00	3	true
ENSG00000143184	0	.00	1	true
ENSG00000121390	0	.00	2	true
ENSG00000213139	0	.00	1	true
ENSG00000104814	0	.00	1	true
ENSG00000131196	0	.00	1	true
ENSG00000115942	0	.00	6	true
ENSG00000196954	0	.00	2	true
ENSG00000172985	0	.00	1	true
ENSG00000157349	0	.00	1	true
ENSG00000168487	0	.00	4	true
ENSG00000168002	0	.00	1	true
ENSG00000126602	0	.00	4	true
ENSG00000125755	0	.00	5	true
ENSG00000088247	0	.00	7	true
ENSG00000145365	0	1.00	1	false
ENSG00000147548	0	.00	1	true
ENSG00000086065	0	.00	1	true
ENSG00000181449	0	.00	3	true
ENSG00000273686	0	.00	9	true
ENSG00000094916	0	.00	9	true
ENSG00000215788	0	.00	1	true
ENSG00000215301	0	.00	1	true
ENSG00000162704	0	.00	7	true
