628	JAK3	3718
629	FAM217B	63939
630	ERC1	23085
631	EXPH5	23086
632	TRIM35	23087
633	ITPR3	3710
634	CALY	50632
635	IVD	3712
636	IVL	3713
637	JAG2	3714
638	AVL9	23080
639	ANO7	50636
640	FAM160A1	729830
641	ZNF723	646864
642	DMRTA2	63950
643	RNF225	646862
644	DMRTA1	63951
645	JUNB	3726
646	ARHGAP26	23092
647	JUND	3727
648	TTLL5	23093
649	DMRTB1	63948
650	JUP	3728
651	SIPA1L3	23094
652	KIF1B	23095
653	IQSEC2	23096
654	CDK19	23097
655	SARM1	23098
656	PNPLA8	50640
657	ZBTB43	23099
658	JARID2	3720
659	PLB1	151056
660	ZNF423	23090
661	JUN	3725
662	ZC3H13	23091
663	KERA	11081
664	DNAJB4	11080
665	ARHGEF4	50649
666	DIDO1	11083
667	ESM1	11082
668	ADAM30	11085
669	ADAM29	11086
670	SETD1B	23067
671	ZNF433	163059
672	LINC01125	728537
673	CLSPN	63967
674	KCNA2	3737
675	KCNA3	3738
676	ZNF609	23060
677	KCNA4	3739
678	TBC1D9B	23061
679	GGA2	23062
680	WAPL	23063
681	SETX	23064
682	EMC1	23065
683	SLC45A1	50651
684	CAND2	23066
685	ARHGEF3	50650
686	ANOS1	3730
687	CD82	3732
688	KARS	3735
689	KCNA1	3736
690	SPACA9	11092
691	WDR5	11091
692	CACFD1	11094
693	UMAD1	729852
694	ADAMTS13	11093
695	ADAMTS5	11096
696	TP53AIP1	63970
697	ADAMTS8	11095
698	PRSS23	11098
699	KCND1	3750
700	NUPL2	11097
701	KIF13A	63971
702	VWA8	23078
703	NEUROD6	63974
704	NEUROG2	63973
705	ZNF791	163049
706	RGPD2	729857
707	PRDM16	63976
708	TMED4	222068
709	PRDM14	63978
710	PRDM15	63977
711	FIGNL1	63979
712	KCNC3	3748
713	CMTR1	23070
714	ZNF709	163051
715	KCNC4	3749
716	ERP44	23071
717	HECW1	23072
718	ZNF564	163050
719	UHRF1BP1L	23074
720	SWAP70	23075
721	RRP1B	23076
722	MYCBP2	23077
723	KCNA5	3741
724	PTPN21	11099
725	KCNA6	3742
726	LOC644215	644215
727	KCNA7	3743
728	KCNA10	3744
729	KCNB1	3745
730	KCNC1	3746
731	KCNC2	3747
732	RNF180	285671
733	LOC107985108	107985108
734	SREK1IP1	285672
735	KCNJ3	3760
736	ZNF454	285676
737	LOC107985109	107985109
738	KCNJ4	3761
739	C5orf60	285679
740	LOC107985103	107985103
741	KCNJ2	3759
742	TMEM145	284339
743	PRR19	284338
744	KCND2	3751
745	KCND3	3752
746	LOC100128651	100128651
747	KCNE1	3753
748	KCNF1	3754
749	SSX4B	548313
750	KCNG1	3755
751	KCNH1	3756
752	KCNH2	3757
753	KCNJ1	3758
754	C6orf99	100130967
755	KCNJ14	3770
756	LOC105373926	105373926
757	KCNJ15	3772
758	CHD3	1107
759	CHD2	1106
760	CHD1	1105
761	RCC1	1104
762	CHAT	1103
763	RCBTB2	1102
764	CHAD	1101
765	C19orf54	284325
766	KCNJ5	3762
767	KCNJ6	3763
768	ZNF780A	284323
769	KCNJ8	3764
770	KCNJ9	3765
771	KCNJ10	3766
772	KCNJ11	3767
773	AKR1C4	1109
774	KCNJ12	3768
775	CHD4	1108
776	KCNJ13	3769
777	FAM205C	100129969
778	SYCE1L	100130958
779	KCNN1	3780
780	KCNN2	3781
781	KCNN3	3782
782	KCNN4	3783
783	CHM	1121
784	LOC107985121	107985121
785	LOC107986453	107986453
786	CHKB	1120
787	CHIT1	1118
788	CHI3L2	1117
789	CHI3L1	1116
790	CHGB	1114
791	CHGA	1113
792	FRK	2444
793	FOXN3	1112
794	CHEK1	1111
795	KCNJ16	3773
796	ZSCAN1	284312
797	KCNK1	3775
798	KCNK2	3776
799	KCNK3	3777
800	KCNMA1	3778
801	KCNMB1	3779
802	LOC105371303	105371303
803	CHKA	1119
804	LOC105373944	105373944
805	KCNS3	3790
806	LOC107985117	107985117
807	KDR	3791
808	KEL	3792
809	CHRM4	1132
810	CHRM3	1131
811	LOC107985111	107985111
812	LYST	1130
813	LOC107985115	107985115
814	CHRM2	1129
815	CHRM1	1128
816	ZNF776	284309
817	ZIK1	284307
818	ZNF547	284306
819	CHN2	1124
820	CHN1	1123
821	CHML	1122
822	KCNQ1	3784
823	KCNQ2	3785
824	KCNQ3	3786
825	KCNS1	3787
826	KCNS2	3788
827	LOC105373951	105373951
828	ACTL9	284382
829	LOC107985149	107985149
830	DCDC2C	728597
831	SMIM6	100130933
832	CCDC169	728591
833	CHRNB4	1143
834	CHRNB3	1142
835	CHRNB2	1141
836	C5orf51	285636
837	CHRNB1	1140
838	CHRNA7	1139
839	CHRNA5	1138
840	CHRNA4	1137
841	CHRNA3	1136
842	CHRNA2	1135
843	CHRNA1	1134
844	CHRM5	1133
845	KHK	3795
846	KIF2A	3796
847	KIF3C	3797
848	KIF5A	3798
849	LOC100129940	100129940
850	KIF5B	3799
851	LOC105373985	105373985
852	ZNF841	284371
853	ZNF615	284370
854	CCDC192	728586
855	SLC36A3	285641
856	LOC100130920	100130920
857	KIF4B	285643
858	CISH	1154
859	CIRBP	1153
860	CKB	1152
861	FRG1	2483
862	MS4A18	728588
863	CIDEA	1149
864	CHUK	1147
865	CHRNG	1146
866	CHRNE	1145
867	CHRND	1144
868	MTOR	2475
869	SIGLECL1	284369
870	KLK9	284366
871	IGK	50802
872	KCNK4	50801
873	EMC10	284361
874	MYEF2	50804
875	TMEM269	100129924
876	IRX4	50805
877	AK3	50808
878	ASAP1	50807
879	HP1BP3	50809
880	CKS2	1164
881	FTH1	2495
882	CKS1B	1163
883	NR5A2	2494
884	OR2V2	285659
885	ERCC8	1161
886	FSHR	2492
887	CKMT2	1160
888	CENPI	2491
889	LOC107986499	107986499
890	CKMT1B	1159
891	CKM	1158
892	FSHB	2488
893	FRZB	2487
894	IZUMO1	284359
895	TBCB	1155
896	MAMSTR	284358
897	NBDY	550643
898	TPRX1	284355
899	NKPD1	284353
900	HDGFL3	50810
901	PPP1R37	284352
902	COPS7A	50813
903	CPHXL	105371346
904	NSDHL	50814
905	LOC105373989	105373989
906	AP3S1	1176
907	AP2S1	1175
908	C5orf64	285668
909	AP1S1	1174
910	AP2M1	1173
911	ZNF283	284349
912	LYPD5	284348
913	CCDC157	550631
914	ZNF575	284346
915	CXCL17	284340
916	PLEKHM2	23207
917	SYT11	23208
918	MLC1	23209
919	OR4C12	283093
920	OR4C13	283092
921	M1AP	130951
922	CLCNKA	1187
923	USP49	25862
924	CLCN7	1186
925	ATP11B	23200
926	WHRN	25861
927	CLCN6	1185
928	FAM168A	23201
929	ABHD14A	25864
930	CLCN5	1184
931	CLCN4	1183
932	PMPCA	23203
933	CLCN3	1182
934	ARL6IP1	23204
935	PRKD2	25865
936	CLCN2	1181
937	ACSBG1	23205
938	CLCN1	1180
939	RASSF8	11228
940	CLCA1	1179
941	CLC	1178
942	DUSP10	11221
943	NLRC5	84166
944	MST1L	11223
945	ANTXR1	84168
946	MRPL3	11222
947	C19orf44	84167
948	KIAA1109	84162
949	RPL35	11224
950	GALNT5	11227
951	ASCC2	84164
952	GALNT6	11226
953	GTF2IRD2	84163
954	NBEAL2	23218
955	LOC402096	402096
956	FBXO28	23219
957	TSLP	85480
958	C10orf126	283080
959	PRAF2	11230
960	CLK3	1198
961	JMJD6	23210
962	RPL36	25873
